[18:28:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH peux tu => 0,4089371
[18:28:16] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH peux tu me => 0,4253899
[18:28:16] [ENGINE - KINECT_0]	 AudioStateChanged (28:16.2):Silence
[18:28:19] [ENGINE - KINECT_0]	 AudioStateChanged (28:19.2):Speech
[18:28:19] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:19] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Que c'est => 0,2633379
[18:28:19] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il => 0,3713105
[18:28:20] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH peux tu me => 0,3473293
[18:28:20] [ENGINE - KINECT_0]	 AudioStateChanged (28:20.1):Silence
[18:28:22] [ENGINE - KINECT_0]	 AudioStateChanged (28:22.5):Speech
[18:28:22] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:22] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[18:28:22] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Que => 0,03694743
[18:28:23] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il => 0,2119123
[18:28:23] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est => 0,3673344
[18:28:24] [ENGINE - KINECT_0]	 AudioStateChanged (28:24.3):Silence
[18:28:30] [ENGINE - KINECT_0]	 AudioStateChanged (28:30.2):Speech
[18:28:30] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:28:30] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[18:28:30] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce => 0,1890634
[18:28:30] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Que => 0,001
[18:28:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il => 0,1687016
[18:28:31] [ENGINE - KINECT_0]	 AudioStateChanged (28:31.7):Silence
[18:29:01] [ENGINE - KINECT_0]	 AudioStateChanged (29:01.4):Speech
[18:29:01] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:29:01] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,3614325
[18:29:01] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je veux => 0,506504
[18:29:02] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je veux la => 0,3976383
[18:29:02] [ENGINE - KINECT_0]	 AudioStateChanged (29:02.8):Silence
[18:29:25] [ENGINE - KINECT_0]	 AudioStateChanged (29:25.7):Speech
[18:29:25] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:29:25] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,2689565
[18:29:26] [ENGINE - KINECT_0]	 AudioStateChanged (29:26.6):Silence
[18:29:38] [ENGINE - KINECT_0]	 AudioStateChanged (29:38.4):Speech
[18:29:38] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:29:38] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,5161749
[18:29:38] [ENGINE - KINECT_0]	 AudioStateChanged (29:38.5):Silence
[18:30:23] [ENGINE - KINECT_0]	 AudioStateChanged (30:23.8):Speech
[18:30:23] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:30:23] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[18:30:24] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH tu => 0,1873977
[18:30:24] [ENGINE - KINECT_0]	 AudioStateChanged (30:24.5):Silence
[18:30:42] [ENGINE - KINECT_0]	 AudioStateChanged (30:42.4):Speech
[18:30:42] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:30:42] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,3783925
[18:30:42] [ENGINE - KINECT_0]	 AudioStateChanged (30:42.5):Silence
[18:31:30] [ENGINE - KINECT_0]	 AudioStateChanged (31:30.0):Speech
[18:31:30] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:31:30] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il => 0,3581173
[18:31:30] [ENGINE - KINECT_0]	 AudioStateChanged (31:30.2):Silence
[18:31:41] [ENGINE - KINECT_0]	 AudioStateChanged (31:41.3):Speech
[18:31:41] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:31:41] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il => 0,001
[18:31:41] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce => 0,001
[18:31:41] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il pleut => 0,05405232
[18:31:42] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est quelle => 0,1676701
[18:31:42] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est quelle heure => 0,3347388
[18:31:43] [ENGINE - KINECT_0]	 AudioStateChanged (31:43.3):Silence
[18:31:45] [ENGINE - KINECT_0]	 AudioStateChanged (31:45.5):Speech
[18:31:45] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:31:45] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,3531023
[18:31:46] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Recherche moi => 0,2509158
[18:31:46] [ENGINE - KINECT_0]	 AudioStateChanged (31:46.4):Silence
[18:31:51] [ENGINE - KINECT_0]	 AudioStateChanged (31:51.1):Speech
